school,year,conference
Kentucky,2020,SEC
Kentucky,2021,SEC
Kentucky,2022,SEC
Kentucky,2023,SEC
Kentucky,2024,SEC
LIU,2010,NEC
LIU,2011,NEC
LIU,2012,NEC
LIU,2013,NEC
LIU,2014,NEC
LIU,2015,NEC
LIU,2016,NEC
LIU,2017,NEC
LIU,2018,NEC
LIU,2019,NEC
LIU,2020,NEC
LIU,2021,NEC
LIU,2022,NEC
LIU,2023,NEC
LIU,2024,NEC
LSU,2010,SEC
LSU,2011,SEC
LSU,2012,SEC
LSU,2013,SEC
LSU,2014,SEC
LSU,2015,SEC
LSU,2016,SEC
LSU,2017,SEC
LSU,2018,SEC
LSU,2019,SEC
LSU,2020,SEC
LSU,2021,SEC
LSU,2022,SEC
LSU,2023,SEC
LSU,2024,SEC
La Salle,2010,Atlantic 10
La Salle,2011,Atlantic 10
La Salle,2012,Atlantic 10
La Salle,2013,Atlantic 10
La Salle,2014,Atlantic 10
La Salle,2015,Atlantic 10
La Salle,2016,Atlantic 10
La Salle,2017,Atlantic 10
La Salle,2018,Atlantic 10
La Salle,2019,Atlantic 10
La Salle,2020,Atlantic 10
La Salle,2021,Atlantic 10
La Salle,2022,Atlantic 10
La Salle,2023,Atlantic 10
La Salle,2024,Atlantic 10
Lafayette,2010,Patriot
Lafayette,2011,Patriot
Lafayette,2012,Patriot
Lafayette,2013,Patriot
Lafayette,2014,Patriot
Lafayette,2015,Patriot
Lafayette,2016,Patriot
Lafayette,2017,Patriot
Lafayette,2018,Patriot
Lafayette,2019,Patriot
Lafayette,2020,Patriot
Lafayette,2021,Patriot
Lafayette,2022,Patriot
Lafayette,2023,Patriot
Lafayette,2024,Patriot
Lamar,2010,Southland
Lamar,2011,Southland
Lamar,2012,Southland
Lamar,2013,Southland
Lamar,2014,Southland
Lamar,2015,Southland
Lamar,2016,Southland
Lamar,2017,Southland
Lamar,2018,Southland
Lamar,2019,Southland
Lamar,2020,Southland
Lamar,2021,Southland
Lamar,2022,Southland
Lamar,2023,Southland
Lamar,2024,Southland
Lehigh,2010,Patriot
Lehigh,2011,Patriot
Lehigh,2012,Patriot
Lehigh,2013,Patriot
Lehigh,2014,Patriot
Lehigh,2015,Patriot
Lehigh,2016,Patriot
Lehigh,2017,Patriot
Lehigh,2018,Patriot
Lehigh,2019,Patriot
Lehigh,2020,Patriot
Lehigh,2021,Patriot
Lehigh,2022,Patriot
Lehigh,2023,Patriot
Lehigh,2024,Patriot
Liberty,2010,Big South
Liberty,2011,Big South
Liberty,2012,Big South
Liberty,2013,Big South
Liberty,2014,Big South
Liberty,2015,Big South
Liberty,2016,Big South
Liberty,2017,Big South
Liberty,2018,Big South
Liberty,2019,Big South
Liberty,2020,Big South
Liberty,2021,Big South
Liberty,2022,Big South
Liberty,2023,Big South
Liberty,2024,Big South
Lipscomb,2010,ASUN
Lipscomb,2011,ASUN
Lipscomb,2012,ASUN
Lipscomb,2013,ASUN
Lipscomb,2014,ASUN
Lipscomb,2015,ASUN
Lipscomb,2016,ASUN
Lipscomb,2017,ASUN
Lipscomb,2018,ASUN
Lipscomb,2019,ASUN
Lipscomb,2020,ASUN
Lipscomb,2021,ASUN
Lipscomb,2022,ASUN
Lipscomb,2023,ASUN
Lipscomb,2024,ASUN
Little Rock,2010,Sun Belt
Little Rock,2011,Sun Belt
Little Rock,2012,Sun Belt
Little Rock,2013,Sun Belt
Little Rock,2014,Sun Belt
Little Rock,2015,Sun Belt
Little Rock,2016,Sun Belt
Little Rock,2017,Sun Belt
Little Rock,2018,Sun Belt
Little Rock,2019,Sun Belt
Little Rock,2020,Sun Belt
Little Rock,2021,Sun Belt
Little Rock,2022,Sun Belt
Little Rock,2023,Sun Belt
Little Rock,2024,Sun Belt
Long Beach State,2010,Big West
Long Beach State,2011,Big West
Long Beach State,2012,Big West
Long Beach State,2013,Big West
Long Beach State,2014,Big West
Long Beach State,2015,Big West
Long Beach State,2016,Big West
Long Beach State,2017,Big West
Long Beach State,2018,Big West
Long Beach State,2019,Big West
Long Beach State,2020,Big West
Long Beach State,2021,Big West
Long Beach State,2022,Big West
Long Beach State,2023,Big West
Long Beach State,2024,Big West
Longwood,2010,Big South
Longwood,2011,Big South
Longwood,2012,Big South
Longwood,2013,Big South
Longwood,2014,Big South
Longwood,2015,Big South
Longwood,2016,Big South
Longwood,2017,Big South
Longwood,2018,Big South
Longwood,2019,Big South
Longwood,2020,Big South
Longwood,2021,Big South
Longwood,2022,Big South
Longwood,2023,Big South
Longwood,2024,Big South
Louisiana,2010,Sun Belt
Louisiana,2011,Sun Belt
Louisiana,2012,Sun Belt
Louisiana,2013,Sun Belt
Louisiana,2014,Sun Belt
Louisiana,2015,Sun Belt
Louisiana,2016,Sun Belt
Louisiana,2017,Sun Belt
Louisiana,2018,Sun Belt
Louisiana,2019,Sun Belt
Louisiana,2020,Sun Belt
Louisiana,2021,Sun Belt
Louisiana,2022,Sun Belt
Louisiana,2023,Sun Belt
Louisiana,2024,Sun Belt
Louisiana Monroe,2010,Sun Belt
Louisiana Monroe,2011,Sun Belt
Louisiana Monroe,2012,Sun Belt
Louisiana Monroe,2013,Sun Belt
Louisiana Monroe,2014,Sun Belt
Louisiana Monroe,2015,Sun Belt
Louisiana Monroe,2016,Sun Belt
Louisiana Monroe,2017,Sun Belt
Louisiana Monroe,2018,Sun Belt
Louisiana Monroe,2019,Sun Belt
Louisiana Monroe,2020,Sun Belt
Louisiana Monroe,2021,Sun Belt
Louisiana Monroe,2022,Sun Belt
Louisiana Monroe,2023,Sun Belt
Louisiana Monroe,2024,Sun Belt
Louisiana Tech,2010,CUSA
Louisiana Tech,2011,CUSA
Louisiana Tech,2012,CUSA
Louisiana Tech,2013,CUSA
Louisiana Tech,2014,CUSA
Louisiana Tech,2015,CUSA
Louisiana Tech,2016,CUSA
Louisiana Tech,2017,CUSA
Louisiana Tech,2018,CUSA
Louisiana Tech,2019,CUSA
Louisiana Tech,2020,CUSA
Louisiana Tech,2021,CUSA
Louisiana Tech,2022,CUSA
Louisiana Tech,2023,CUSA
Louisiana Tech,2024,CUSA
Louisville,2010,Big East
Louisville,2011,Big East
Louisville,2012,Big East
Louisville,2013,AAC
Louisville,2014,AAC
Louisville,2015,ACC
Louisville,2016,ACC
Louisville,2017,ACC
Louisville,2018,ACC
Louisville,2019,ACC
Louisville,2020,ACC
Louisville,2021,ACC
Louisville,2022,ACC
Louisville,2023,ACC
Louisville,2024,ACC
Loyola Chicago,2010,Horizon
Loyola Chicago,2011,Horizon
Loyola Chicago,2012,Horizon
Loyola Chicago,2013,Missouri Valley
Loyola Chicago,2014,Missouri Valley
Loyola Chicago,2015,Missouri Valley
Loyola Chicago,2016,Missouri Valley
Loyola Chicago,2017,Missouri Valley
Loyola Chicago,2018,Missouri Valley
Loyola Chicago,2019,Missouri Valley
Loyola Chicago,2020,Missouri Valley
Loyola Chicago,2021,Missouri Valley
Loyola Chicago,2022,Missouri Valley
Loyola Chicago,2023,Atlantic 10
Loyola Chicago,2024,Atlantic 10
Loyola Maryland,2010,Patriot
Loyola Maryland,2011,Patriot
Loyola Maryland,2012,Patriot
Loyola Maryland,2013,Patriot
Loyola Maryland,2014,Patriot
Loyola Maryland,2015,Patriot
Loyola Maryland,2016,Patriot
Loyola Maryland,2017,Patriot
Loyola Maryland,2018,Patriot
Loyola Maryland,2019,Patriot
Loyola Maryland,2020,Patriot
Loyola Maryland,2021,Patriot
Loyola Maryland,2022,Patriot
Loyola Maryland,2023,Patriot
Loyola Maryland,2024,Patriot
Loyola Marymount,2010,WCC
Loyola Marymount,2011,WCC
Loyola Marymount,2012,WCC
Loyola Marymount,2013,WCC
Loyola Marymount,2014,WCC
Loyola Marymount,2015,WCC
Loyola Marymount,2016,WCC
Loyola Marymount,2017,WCC
Loyola Marymount,2018,WCC
Loyola Marymount,2019,WCC
Loyola Marymount,2020,WCC
Loyola Marymount,2021,WCC
Loyola Marymount,2022,WCC
Loyola Marymount,2023,WCC
Loyola Marymount,2024,WCC
Maine,2010,America East
Maine,2011,America East
Maine,2012,America East
Maine,2013,America East
Maine,2014,America East
Maine,2015,America East
Maine,2016,America East
Maine,2017,America East
Maine,2018,America East
Maine,2019,America East
Maine,2020,America East
Maine,2021,America East
Maine,2022,America East
Maine,2023,America East
Maine,2024,America East
Manhattan,2010,MAAC
Manhattan,2011,MAAC
Manhattan,2012,MAAC
Manhattan,2013,MAAC
Manhattan,2014,MAAC
Manhattan,2015,MAAC
Manhattan,2016,MAAC
Manhattan,2017,MAAC
Manhattan,2018,MAAC
Manhattan,2019,MAAC
Manhattan,2020,MAAC
Manhattan,2021,MAAC
Manhattan,2022,MAAC
Manhattan,2023,MAAC
Manhattan,2024,MAAC
Marist,2010,MAAC
Marist,2011,MAAC
Marist,2012,MAAC
Marist,2013,MAAC
Marist,2014,MAAC
Marist,2015,MAAC
Marist,2016,MAAC
Marist,2017,MAAC
Marist,2018,MAAC
Marist,2019,MAAC
Marist,2020,MAAC
Marist,2021,MAAC
Marist,2022,MAAC
Marist,2023,MAAC
Marist,2024,MAAC
Marquette,2010,Big East
Marquette,2011,Big East
Marquette,2012,Big East
Marquette,2013,Big East
Marquette,2014,Big East
Marquette,2015,Big East
Marquette,2016,Big East
Marquette,2017,Big East
Marquette,2018,Big East
Marquette,2019,Big East
Marquette,2020,Big East
Marquette,2021,Big East
Marquette,2022,Big East
Marquette,2023,Big East
Marquette,2024,Big East
Marshall,2010,CUSA
Marshall,2011,CUSA
Marshall,2012,CUSA
Marshall,2013,CUSA
Marshall,2014,CUSA
Marshall,2015,CUSA
Marshall,2016,CUSA
Marshall,2017,CUSA
Marshall,2018,CUSA
Marshall,2019,CUSA
Marshall,2020,CUSA
Marshall,2021,CUSA
Marshall,2022,CUSA
Marshall,2023,CUSA
Marshall,2024,CUSA
Maryland,2010,ACC
Maryland,2011,ACC
Maryland,2012,ACC
Maryland,2013,ACC
Maryland,2014,Big Ten
Maryland,2015,Big Ten
Maryland,2016,Big Ten
Maryland,2017,Big Ten
Maryland,2018,Big Ten
Maryland,2019,Big Ten
Maryland,2020,Big Ten
Maryland,2021,Big Ten
Maryland,2022,Big Ten
Maryland,2023,Big Ten
Maryland,2024,Big Ten
Maryland-Eastern Shore,2010,MEAC
Maryland-Eastern Shore,2011,MEAC
Maryland-Eastern Shore,2012,MEAC
Maryland-Eastern Shore,2013,MEAC
Maryland-Eastern Shore,2014,MEAC
Maryland-Eastern Shore,2015,MEAC
Maryland-Eastern Shore,2016,MEAC
Maryland-Eastern Shore,2017,MEAC
Maryland-Eastern Shore,2018,MEAC
Maryland-Eastern Shore,2019,MEAC
Maryland-Eastern Shore,2020,MEAC
Maryland-Eastern Shore,2021,MEAC
Maryland-Eastern Shore,2022,MEAC
Maryland-Eastern Shore,2023,MEAC
Maryland-Eastern Shore,2024,MEAC
Massachusetts,2010,Atlantic 10
Massachusetts,2011,Atlantic 10
Massachusetts,2012,Atlantic 10
Massachusetts,2013,Atlantic 10
Massachusetts,2014,Atlantic 10
Massachusetts,2015,Atlantic 10
Massachusetts,2016,Atlantic 10
Massachusetts,2017,Atlantic 10
Massachusetts,2018,Atlantic 10
Massachusetts,2019,Atlantic 10
Massachusetts,2020,Atlantic 10
Massachusetts,2021,Atlantic 10
Massachusetts,2022,Atlantic 10
Massachusetts,2023,Atlantic 10
Massachusetts,2024,Atlantic 10
McNeese State,2010,Southland
McNeese State,2011,Southland
McNeese State,2012,Southland
McNeese State,2013,Southland
McNeese State,2014,Southland
McNeese State,2015,Southland
McNeese State,2016,Southland
McNeese State,2017,Southland
McNeese State,2018,Southland
McNeese State,2019,Southland
McNeese State,2020,Southland
McNeese State,2021,Southland
McNeese State,2022,Southland
McNeese State,2023,Southland
McNeese State,2024,Southland
Memphis,2010,CUSA
Memphis,2011,CUSA
Memphis,2012,CUSA
Memphis,2013,AAC
Memphis,2014,AAC
Memphis,2015,AAC
Memphis,2016,AAC
Memphis,2017,AAC
Memphis,2018,AAC
Memphis,2019,AAC
Memphis,2020,AAC
Memphis,2021,AAC
Memphis,2022,AAC
Memphis,2023,AAC
Memphis,2024,AAC
Mercer,2010,Southern
Mercer,2011,Southern
Mercer,2012,Southern
Mercer,2013,Southern
Mercer,2014,Southern
Mercer,2015,Southern
Mercer,2016,Southern
Mercer,2017,Southern
Mercer,2018,Southern
Mercer,2019,Southern
Mercer,2020,Southern
Mercer,2021,Southern
Mercer,2022,Southern
Mercer,2023,Southern
Mercer,2024,Southern
Merrimack,2010,NEC
Merrimack,2011,NEC
Merrimack,2012,NEC
Merrimack,2013,NEC
Merrimack,2014,NEC
Merrimack,2015,NEC
Merrimack,2016,NEC
Merrimack,2017,NEC
Merrimack,2018,NEC
Merrimack,2019,NEC
Merrimack,2020,NEC
Merrimack,2021,NEC
Merrimack,2022,NEC
Merrimack,2023,NEC
Merrimack,2024,NEC
Miami (FL),2010,ACC
Miami (FL),2011,ACC
Miami (FL),2012,ACC
Miami (FL),2013,ACC
Miami (FL),2014,ACC
Miami (FL),2015,ACC
Miami (FL),2016,ACC
Miami (FL),2017,ACC
Miami (FL),2018,ACC
Miami (FL),2019,ACC
Miami (FL),2020,ACC
Miami (FL),2021,ACC
Miami (FL),2022,ACC
Miami (FL),2023,ACC
Miami (FL),2024,ACC
Miami (OH),2010,MAC
Miami (OH),2011,MAC
Miami (OH),2012,MAC
Miami (OH),2013,MAC
Miami (OH),2014,MAC
Miami (OH),2015,MAC
Miami (OH),2016,MAC
Miami (OH),2017,MAC
Miami (OH),2018,MAC
Miami (OH),2019,MAC
Miami (OH),2020,MAC
Miami (OH),2021,MAC
Miami (OH),2022,MAC
Miami (OH),2023,MAC
Miami (OH),2024,MAC
Michigan,2010,Big Ten
Michigan,2011,Big Ten
Michigan,2012,Big Ten
Michigan,2013,Big Ten
Michigan,2014,Big Ten
Michigan,2015,Big Ten
Michigan,2016,Big Ten
Michigan,2017,Big Ten
Michigan,2018,Big Ten
Michigan,2019,Big Ten
Michigan,2020,Big Ten
Michigan,2021,Big Ten
Michigan,2022,Big Ten
Michigan,2023,Big Ten
Michigan,2024,Big Ten
Michigan State,2010,Big Ten
Michigan State,2011,Big Ten
Michigan State,2012,Big Ten
Michigan State,2013,Big Ten
Michigan State,2014,Big Ten
Michigan State,2015,Big Ten
Michigan State,2016,Big Ten
Michigan State,2017,Big Ten
Michigan State,2018,Big Ten
Michigan State,2019,Big Ten
Michigan State,2020,Big Ten
Michigan State,2021,Big Ten
Michigan State,2022,Big Ten
Michigan State,2023,Big Ten
Michigan State,2024,Big Ten
Middle Tennessee,2010,CUSA
Middle Tennessee,2011,CUSA
Middle Tennessee,2012,CUSA
Middle Tennessee,2013,CUSA
Middle Tennessee,2014,CUSA
Middle Tennessee,2015,CUSA
Middle Tennessee,2016,CUSA
Middle Tennessee,2017,CUSA
Middle Tennessee,2018,CUSA
Middle Tennessee,2019,CUSA
Middle Tennessee,2020,CUSA
Middle Tennessee,2021,CUSA
Middle Tennessee,2022,CUSA
Middle Tennessee,2023,CUSA
Middle Tennessee,2024,CUSA
Milwaukee,2010,Horizon
Milwaukee,2011,Horizon
Milwaukee,2012,Horizon
Milwaukee,2013,Horizon
Milwaukee,2014,Horizon
Milwaukee,2015,Horizon
Milwaukee,2016,Horizon
Milwaukee,2017,Horizon
Milwaukee,2018,Horizon
Milwaukee,2019,Horizon
Milwaukee,2020,Horizon
Milwaukee,2021,Horizon
Milwaukee,2022,Horizon
Milwaukee,2023,Horizon
Milwaukee,2024,Horizon
Minnesota,2010,Big Ten
Minnesota,2011,Big Ten
Minnesota,2012,Big Ten
Minnesota,2013,Big Ten
Minnesota,2014,Big Ten
Minnesota,2015,Big Ten
Minnesota,2016,Big Ten
Minnesota,2017,Big Ten
Minnesota,2018,Big Ten
Minnesota,2019,Big Ten
Minnesota,2020,Big Ten
Minnesota,2021,Big Ten
Minnesota,2022,Big Ten
Minnesota,2023,Big Ten
Minnesota,2024,Big Ten
Mississippi State,2010,SEC
Mississippi State,2011,SEC
Mississippi State,2012,SEC
Mississippi State,2013,SEC
Mississippi State,2014,SEC
Mississippi State,2015,SEC
Mississippi State,2016,SEC
Mississippi State,2017,SEC
Mississippi State,2018,SEC
Mississippi State,2019,SEC
Mississippi State,2020,SEC
Mississippi State,2021,SEC
Mississippi State,2022,SEC
Mississippi State,2023,SEC
Mississippi State,2024,SEC
Mississippi Valley State,2010,SWAC
Mississippi Valley State,2011,SWAC
Mississippi Valley State,2012,SWAC
Mississippi Valley State,2013,SWAC
Mississippi Valley State,2014,SWAC
Mississippi Valley State,2015,SWAC
Mississippi Valley State,2016,SWAC
Mississippi Valley State,2017,SWAC
Mississippi Valley State,2018,SWAC
Mississippi Valley State,2019,SWAC
Mississippi Valley State,2020,SWAC
Mississippi Valley State,2021,SWAC
Mississippi Valley State,2022,SWAC
Mississippi Valley State,2023,SWAC
Mississippi Valley State,2024,SWAC
Missouri,2010,Big 12
Missouri,2011,Big 12
Missouri,2012,SEC
Missouri,2013,SEC
Missouri,2014,SEC
Missouri,2015,SEC
Missouri,2016,SEC
Missouri,2017,SEC
Missouri,2018,SEC
Missouri,2019,SEC
Missouri,2020,SEC
Missouri,2021,SEC
Missouri,2022,SEC
Missouri,2023,SEC
Missouri,2024,SEC
Missouri State,2010,Missouri Valley
Missouri State,2011,Missouri Valley
Missouri State,2012,Missouri Valley
Missouri State,2013,Missouri Valley
Missouri State,2014,Missouri Valley
Missouri State,2015,Missouri Valley
Missouri State,2016,Missouri Valley
Missouri State,2017,Missouri Valley
Missouri State,2018,Missouri Valley
Missouri State,2019,Missouri Valley
Missouri State,2020,Missouri Valley
Missouri State,2021,Missouri Valley
Missouri State,2022,Missouri Valley
Missouri State,2023,Missouri Valley
Missouri State,2024,Missouri Valley
Monmouth,2010,MAAC
Monmouth,2011,MAAC
Monmouth,2012,MAAC
Monmouth,2013,MAAC
Monmouth,2014,MAAC
Monmouth,2015,MAAC
Monmouth,2016,MAAC
Monmouth,2017,MAAC
Monmouth,2018,MAAC
Monmouth,2019,MAAC
Monmouth,2020,MAAC
Monmouth,2021,MAAC
Monmouth,2022,MAAC
Monmouth,2023,MAAC
Monmouth,2024,MAAC
Montana,2010,Big Sky
Montana,2011,Big Sky
Montana,2012,Big Sky
Montana,2013,Big Sky
Montana,2014,Big Sky
Montana,2015,Big Sky
Montana,2016,Big Sky
Montana,2017,Big Sky
Montana,2018,Big Sky
Montana,2019,Big Sky
Montana,2020,Big Sky
Montana,2021,Big Sky
Montana,2022,Big Sky
Montana,2023,Big Sky
Montana,2024,Big Sky
Montana State,2010,Big Sky
Montana State,2011,Big Sky
Montana State,2012,Big Sky
Montana State,2013,Big Sky
Montana State,2014,Big Sky
Montana State,2015,Big Sky
Montana State,2016,Big Sky
Montana State,2017,Big Sky
Montana State,2018,Big Sky
Montana State,2019,Big Sky
Montana State,2020,Big Sky
Montana State,2021,Big Sky
Montana State,2022,Big Sky
Montana State,2023,Big Sky
Montana State,2024,Big Sky
Morehead State,2010,Ohio Valley
Morehead State,2011,Ohio Valley
Morehead State,2012,Ohio Valley
Morehead State,2013,Ohio Valley
Morehead State,2014,Ohio Valley
Morehead State,2015,Ohio Valley
Morehead State,2016,Ohio Valley
Morehead State,2017,Ohio Valley
Morehead State,2018,Ohio Valley
Morehead State,2019,Ohio Valley
Morehead State,2020,Ohio Valley
Morehead State,2021,Ohio Valley
Morehead State,2022,Ohio Valley
Morehead State,2023,Ohio Valley
Morehead State,2024,Ohio Valley
Morgan State,2010,MEAC
Morgan State,2011,MEAC
Morgan State,2012,MEAC
Morgan State,2013,MEAC
Morgan State,2014,MEAC
Morgan State,2015,MEAC
Morgan State,2016,MEAC
Morgan State,2017,MEAC
Morgan State,2018,MEAC
Morgan State,2019,MEAC
Morgan State,2020,MEAC
Morgan State,2021,MEAC
Morgan State,2022,MEAC
Morgan State,2023,MEAC
Morgan State,2024,MEAC
Mount St. Mary's,2010,NEC
Mount St. Mary's,2011,NEC
Mount St. Mary's,2012,NEC
Mount St. Mary's,2013,NEC
Mount St. Mary's,2014,NEC
Mount St. Mary's,2015,NEC
Mount St. Mary's,2016,NEC
Mount St. Mary's,2017,NEC
Mount St. Mary's,2018,NEC
Mount St. Mary's,2019,NEC
Mount St. Mary's,2020,NEC
Mount St. Mary's,2021,NEC
Mount St. Mary's,2022,NEC
Mount St. Mary's,2023,NEC
Mount St. Mary's,2024,NEC
Murray State,2010,Ohio Valley
Murray State,2011,Ohio Valley
Murray State,2012,Ohio Valley
Murray State,2013,Ohio Valley
Murray State,2014,Ohio Valley
Murray State,2015,Ohio Valley
Murray State,2016,Ohio Valley
Murray State,2017,Ohio Valley
Murray State,2018,Ohio Valley
Murray State,2019,Ohio Valley
Murray State,2020,Ohio Valley
Murray State,2021,Ohio Valley
Murray State,2022,Ohio Valley
Murray State,2023,Ohio Valley
Murray State,2024,Ohio Valley
NC Central,2010,MEAC
NC Central,2011,MEAC
NC Central,2012,MEAC
NC Central,2013,MEAC
NC Central,2014,MEAC
NC Central,2015,MEAC
NC Central,2016,MEAC
NC Central,2017,MEAC
NC Central,2018,MEAC
NC Central,2019,MEAC
NC Central,2020,MEAC
NC Central,2021,MEAC
NC Central,2022,MEAC
NC Central,2023,MEAC
NC Central,2024,MEAC
NC State,2010,ACC
NC State,2011,ACC
NC State,2012,ACC
NC State,2013,ACC
NC State,2014,ACC
NC State,2015,ACC
NC State,2016,ACC
NC State,2017,ACC
NC State,2018,ACC
NC State,2019,ACC
NC State,2020,ACC
NC State,2021,ACC
NC State,2022,ACC
NC State,2023,ACC
NC State,2024,ACC
NJIT,2010,America East
NJIT,2011,America East
NJIT,2012,America East
NJIT,2013,America East
NJIT,2014,America East
NJIT,2015,America East
NJIT,2016,America East
NJIT,2017,America East
NJIT,2018,America East
NJIT,2019,America East
NJIT,2020,America East
NJIT,2021,America East
NJIT,2022,America East
NJIT,2023,America East
NJIT,2024,America East
Navy,2010,Patriot
Navy,2011,Patriot
Navy,2012,Patriot
Navy,2013,Patriot
Navy,2014,Patriot
Navy,2015,Patriot
Navy,2016,Patriot
Navy,2017,Patriot
Navy,2018,Patriot
Navy,2019,Patriot
Navy,2020,Patriot
Navy,2021,Patriot
Navy,2022,Patriot
Navy,2023,Patriot
Navy,2024,Patriot
Nebraska,2010,Big 12
Nebraska,2011,Big Ten
Nebraska,2012,Big Ten
Nebraska,2013,Big Ten
Nebraska,2014,Big Ten
Nebraska,2015,Big Ten
Nebraska,2016,Big Ten
Nebraska,2017,Big Ten
Nebraska,2018,Big Ten
Nebraska,2019,Big Ten
Nebraska,2020,Big Ten
Nebraska,2021,Big Ten
Nebraska,2022,Big Ten
Nebraska,2023,Big Ten
Nebraska,2024,Big Ten
Nevada,2010,Mountain West
Nevada,2011,Mountain West
Nevada,2012,Mountain West
Nevada,2013,Mountain West
Nevada,2014,Mountain West
Nevada,2015,Mountain West
Nevada,2016,Mountain West
Nevada,2017,Mountain West
Nevada,2018,Mountain West
Nevada,2019,Mountain West
Nevada,2020,Mountain West
Nevada,2021,Mountain West
Nevada,2022,Mountain West
Nevada,2023,Mountain West
Nevada,2024,Mountain West
New Hampshire,2010,America East
New Hampshire,2011,America East
New Hampshire,2012,America East
New Hampshire,2013,America East
New Hampshire,2014,America East
New Hampshire,2015,America East
New Hampshire,2016,America East
New Hampshire,2017,America East
New Hampshire,2018,America East
New Hampshire,2019,America East
New Hampshire,2020,America East
New Hampshire,2021,America East
New Hampshire,2022,America East
New Hampshire,2023,America East
New Hampshire,2024,America East
New Mexico,2010,Mountain West
New Mexico,2011,Mountain West
New Mexico,2012,Mountain West
New Mexico,2013,Mountain West
New Mexico,2014,Mountain West
New Mexico,2015,Mountain West
New Mexico,2016,Mountain West
New Mexico,2017,Mountain West
New Mexico,2018,Mountain West
New Mexico,2019,Mountain West
New Mexico,2020,Mountain West
New Mexico,2021,Mountain West
New Mexico,2022,Mountain West
New Mexico,2023,Mountain West
New Mexico,2024,Mountain West
New Mexico State,2010,WAC
New Mexico State,2011,WAC
New Mexico State,2012,WAC
New Mexico State,2013,WAC
New Mexico State,2014,WAC
New Mexico State,2015,WAC
New Mexico State,2016,WAC
New Mexico State,2017,WAC
New Mexico State,2018,WAC
New Mexico State,2019,WAC
New Mexico State,2020,WAC
New Mexico State,2021,WAC
New Mexico State,2022,WAC
New Mexico State,2023,WAC
New Mexico State,2024,WAC
New Orleans,2010,Southland
New Orleans,2011,Southland
New Orleans,2012,Southland
New Orleans,2013,Southland
New Orleans,2014,Southland
New Orleans,2015,Southland
New Orleans,2016,Southland
New Orleans,2017,Southland
New Orleans,2018,Southland
New Orleans,2019,Southland
New Orleans,2020,Southland
New Orleans,2021,Southland
New Orleans,2022,Southland
New Orleans,2023,Southland
New Orleans,2024,Southland
Niagara,2010,MAAC
Niagara,2011,MAAC
Niagara,2012,MAAC
Niagara,2013,MAAC
Niagara,2014,MAAC
Niagara,2015,MAAC
Niagara,2016,MAAC
Niagara,2017,MAAC
Niagara,2018,MAAC
Niagara,2019,MAAC
Niagara,2020,MAAC
Niagara,2021,MAAC
Niagara,2022,MAAC
Niagara,2023,MAAC
Niagara,2024,MAAC
Nicholls State,2010,Southland
Nicholls State,2011,Southland
Nicholls State,2012,Southland
Nicholls State,2013,Southland
Nicholls State,2014,Southland
Nicholls State,2015,Southland
Nicholls State,2016,Southland
Nicholls State,2017,Southland
Nicholls State,2018,Southland
Nicholls State,2019,Southland
Nicholls State,2020,Southland
Nicholls State,2021,Southland
Nicholls State,2022,Southland
Nicholls State,2023,Southland
Nicholls State,2024,Southland
Norfolk State,2010,MEAC
Norfolk State,2011,MEAC
Norfolk State,2012,MEAC
Norfolk State,2013,MEAC
Norfolk State,2014,MEAC
Norfolk State,2015,MEAC
Norfolk State,2016,MEAC
Norfolk State,2017,MEAC
Norfolk State,2018,MEAC
Norfolk State,2019,MEAC
Norfolk State,2020,MEAC
Norfolk State,2021,MEAC
Norfolk State,2022,MEAC
Norfolk State,2023,MEAC
Norfolk State,2024,MEAC
North Carolina,2010,ACC
North Carolina,2011,ACC
North Carolina,2012,ACC
North Carolina,2013,ACC
North Carolina,2014,ACC
North Carolina,2015,ACC
North Carolina,2016,ACC
North Carolina,2017,ACC
North Carolina,2018,ACC
North Carolina,2019,ACC
North Carolina,2020,ACC
North Carolina,2021,ACC
North Carolina,2022,ACC
North Carolina,2023,ACC
North Carolina,2024,ACC
North Carolina A&T,2010,MEAC
North Carolina A&T,2011,MEAC
North Carolina A&T,2012,MEAC
North Carolina A&T,2013,MEAC
North Carolina A&T,2014,MEAC
North Carolina A&T,2015,MEAC
North Carolina A&T,2016,MEAC
North Carolina A&T,2017,MEAC
North Carolina A&T,2018,MEAC
North Carolina A&T,2019,MEAC
North Carolina A&T,2020,MEAC
North Carolina A&T,2021,MEAC
North Carolina A&T,2022,MEAC
North Carolina A&T,2023,MEAC
North Carolina A&T,2024,MEAC
North Dakota,2010,Summit
North Dakota,2011,Summit
North Dakota,2012,Summit
North Dakota,2013,Summit
North Dakota,2014,Summit
North Dakota,2015,Summit
North Dakota,2016,Summit
North Dakota,2017,Summit
North Dakota,2018,Summit
North Dakota,2019,Summit
North Dakota,2020,Summit
North Dakota,2021,Summit
North Dakota,2022,Summit
North Dakota,2023,Summit
North Dakota,2024,Summit
North Dakota State,2010,Summit
North Dakota State,2011,Summit
North Dakota State,2012,Summit
North Dakota State,2013,Summit
North Dakota State,2014,Summit
North Dakota State,2015,Summit
North Dakota State,2016,Summit
North Dakota State,2017,Summit
North Dakota State,2018,Summit
North Dakota State,2019,Summit
North Dakota State,2020,Summit
North Dakota State,2021,Summit
North Dakota State,2022,Summit
North Dakota State,2023,Summit
North Dakota State,2024,Summit
